Variable,daily_value,Data_Collection_Time_UTC,Collection_Date
Avon Dam,76%,2023-11-28 07:16:05,2023-11-28
Blue Mountains Dams,86%,2023-11-28 07:16:05,2023-11-28
Cataract Dam,68%,2023-11-28 07:16:05,2023-11-28
Cordeaux Dam,63%,2023-11-28 07:16:05,2023-11-28
Fitzroy Falls Reservoir,63%,2023-11-28 07:16:05,2023-11-28
Nepean Dam,69%,2023-11-28 07:16:05,2023-11-28
Prospect Reservoir,89%,2023-11-28 07:16:05,2023-11-28
Tallowa Dam,0%,2023-11-28 07:16:05,2023-11-28
Warragamba Dam,91%,2023-11-28 07:16:05,2023-11-28
Wingecarribee Reservoir,59%,2023-11-28 07:16:05,2023-11-28
Woronora Dam,90%,2023-11-28 07:16:05,2023-11-28
How Much Rain have We had?,2.1MM,2023-11-28 07:16:05,2023-11-28
How Much Water is in Our Dams?,87.00%,2023-11-28 07:16:05,2023-11-28
How Much Water have we Used,"1,471ML",2023-11-28 07:16:05,2023-11-28
