Variable,Storage_Capacity_ML,Comments
Avon Dam,142230,
Blue Mountains Dams,2890,
Cataract Dam,97190,
Cordeaux Dam,93790,
Fitzroy Falls Reservoir,9950,
Nepean Dam,67730,
Prospect Reservoir,33330,
Tallowa Dam,7500,"Note: Total storage capacity of Tallowa Dam is the amount of water available to transfer to Sydney and the Illawarra. Other water from Tallowa Dam is provided by Shoalhaven City Council to local communities, or released as environmental flows for the Shoalhaven River."
Warragamba Dam,2064680,
Wingecarribee Reservoir,29880,
Woronora Dam,69536,
